NHL,New York Rangers,2022-2023 Regular Season, 11
NHL,New York Rangers,2022-2023 Preseason, 1
NHL,New York Rangers,2021-2022 Postseason, 3
NHL,New York Rangers,2021-2022 Regular Season, 18
NHL,New York Rangers,2021-2022 Preseason, 1
NHL,New York Rangers,2020-2021 Regular Season, 22
NHL,New York Rangers,2019-2020 Postseason, 2
NHL,New York Rangers,2019-2020 Preseason, 7
NHL,New York Rangers,2019-2020 Regular Season, 21
NHL,New York Rangers,2018-2019 Regular Season, 25
NHL,San Jose Sharks,2022-2023 Regular Season, 13
NHL,San Jose Sharks,2022-2023 Preseason, 1
NHL,San Jose Sharks,2021-2022 Regular Season, 31
NHL,San Jose Sharks,2021-2022 Preseason, 6
NHL,San Jose Sharks,2020-2021 Regular Season, 15
NHL,San Jose Sharks,2019-2020 Preseason, 2
NHL,San Jose Sharks,2019-2020 Regular Season, 14
NHL,San Jose Sharks,2018-2019 Postseason, 1
NHL,San Jose Sharks,2018-2019 Regular Season, 17
NHL,San Jose Sharks,2018-2019 Preseason, 1
NHL,Philadelphia Flyers,2022-2023 Regular Season, 20
NHL,Philadelphia Flyers,2022-2023 Preseason, 5
NHL,Philadelphia Flyers,2021-2022 Regular Season, 23
NHL,Philadelphia Flyers,2021-2022 Preseason, 3
NHL,Philadelphia Flyers,2020-2021 Regular Season, 10
NHL,Philadelphia Flyers,2019-2020 Postseason, 1
NHL,Philadelphia Flyers,2019-2020 Preseason, 5
NHL,Philadelphia Flyers,2019-2020 Regular Season, 11
NHL,Philadelphia Flyers,2018-2019 Regular Season, 10
NHL,Philadelphia Flyers,2018-2019 Preseason, 1
NHL,Ottawa Senators,2022-2023 Regular Season, 16
NHL,Ottawa Senators,2022-2023 Preseason, 3
NHL,Ottawa Senators,2021-2022 Regular Season, 32
NHL,Ottawa Senators,2021-2022 Preseason, 5
NHL,Ottawa Senators,2020-2021 Regular Season, 23
NHL,Ottawa Senators,2019-2020 Preseason, 4
NHL,Ottawa Senators,2019-2020 Regular Season, 20
NHL,Ottawa Senators,2018-2019 Regular Season, 22
NHL,Ottawa Senators,2018-2019 Preseason, 1
NHL,Ottawa Senators,2017-2018 Regular Season, 17
NHL,New York Islanders,2022-2023 Regular Season, 13
NHL,New York Islanders,2022-2023 Preseason, 2
NHL,New York Islanders,2021-2022 Regular Season, 24
NHL,New York Islanders,2020-2021 Postseason, 5
NHL,New York Islanders,2020-2021 Regular Season, 5
NHL,New York Islanders,2019-2020 Postseason, 5
NHL,New York Islanders,2019-2020 Preseason, 3
NHL,New York Islanders,2019-2020 Regular Season, 17
NHL,New York Islanders,2018-2019 Regular Season, 16
NHL,New York Islanders,2018-2019 Preseason, 2
NHL,New Jersey Devils,2022-2023 Regular Season, 8
NHL,New Jersey Devils,2021-2022 Regular Season, 18
NHL,New Jersey Devils,2021-2022 Preseason, 1
NHL,New Jersey Devils,2020-2021 Regular Season, 10
NHL,New Jersey Devils,2019-2020 Preseason, 4
NHL,New Jersey Devils,2019-2020 Regular Season, 15
NHL,New Jersey Devils,2018-2019 Regular Season, 15
NHL,New Jersey Devils,2018-2019 Preseason, 4
NHL,New Jersey Devils,2017-2018 Regular Season, 16
NHL,New Jersey Devils,2017-2018 Preseason, 3
NHL,Nashville Predators,2022-2023 Regular Season, 19
NHL,Nashville Predators,2022-2023 Preseason, 3
NHL,Nashville Predators,2021-2022 Regular Season, 59
NHL,Nashville Predators,2021-2022 Preseason, 2
NHL,Nashville Predators,2020-2021 Regular Season, 12
NHL,Nashville Predators,2019-2020 Preseason, 5
NHL,Nashville Predators,2019-2020 Regular Season, 15
NHL,Nashville Predators,2018-2019 Regular Season, 18
NHL,Nashville Predators,2018-2019 Preseason, 1
NHL,Nashville Predators,2017-2018 Postseason, 1
NHL,Montreal Canadiens,2022-2023 Regular Season, 14
NHL,Montreal Canadiens,2022-2023 Preseason, 2
NHL,Montreal Canadiens,2021-2022 Regular Season, 16
NHL,Montreal Canadiens,2021-2022 Preseason, 4
NHL,Montreal Canadiens,2020-2021 Postseason, 1
NHL,Montreal Canadiens,2020-2021 Regular Season, 13
NHL,Montreal Canadiens,2019-2020 Preseason, 2
NHL,Montreal Canadiens,2019-2020 Regular Season, 10
NHL,Montreal Canadiens,2018-2019 Regular Season, 13
NHL,Montreal Canadiens,2018-2019 Preseason, 3
NHL,Minnesota Wild,2022-2023 Regular Season, 15
NHL,Minnesota Wild,2022-2023 Preseason, 2
NHL,Minnesota Wild,2021-2022 Regular Season, 35
NHL,Minnesota Wild,2021-2022 Preseason, 3
NHL,Minnesota Wild,2020-2021 Postseason, 1
NHL,Minnesota Wild,2020-2021 Regular Season, 14
NHL,Minnesota Wild,2019-2020 Postseason, 2
NHL,Minnesota Wild,2019-2020 Preseason, 4
NHL,Minnesota Wild,2019-2020 Regular Season, 11
NHL,Minnesota Wild,2018-2019 Regular Season, 18
NHL,Los Angeles Kings,2022-2023 Regular Season, 7
NHL,Los Angeles Kings,2021-2022 Regular Season, 13
NHL,Los Angeles Kings,2021-2022 Preseason, 2
NHL,Los Angeles Kings,2020-2021 Regular Season, 11
NHL,Los Angeles Kings,2019-2020 Regular Season, 13
NHL,Los Angeles Kings,2018-2019 Regular Season, 15
NHL,Los Angeles Kings,2018-2019 Preseason, 2
NHL,Los Angeles Kings,2017-2018 Regular Season, 20
NHL,Los Angeles Kings,2017-2018 Preseason, 6
NHL,Los Angeles Kings,2016-2017 Regular Season, 31
NHL,Florida Panthers,2022-2023 Regular Season, 10
NHL,Florida Panthers,2021-2022 Postseason, 1
NHL,Florida Panthers,2021-2022 Regular Season, 20
NHL,Florida Panthers,2021-2022 Preseason, 7
NHL,Florida Panthers,2020-2021 Regular Season, 18
NHL,Florida Panthers,2019-2020 Postseason, 1
NHL,Florida Panthers,2019-2020 Preseason, 4
NHL,Florida Panthers,2019-2020 Regular Season, 12
NHL,Florida Panthers,2018-2019 Regular Season, 16
NHL,Florida Panthers,2018-2019 Preseason, 1
NHL,Edmonton Oilers,2022-2023 Regular Season, 6
NHL,Edmonton Oilers,2022-2023 Preseason, 3
NHL,Edmonton Oilers,2021-2022 Regular Season, 7
NHL,Edmonton Oilers,2021-2022 Preseason, 2
NHL,Edmonton Oilers,2020-2021 Regular Season, 13
NHL,Edmonton Oilers,2019-2020 Regular Season, 12
NHL,Edmonton Oilers,2018-2019 Regular Season, 14
NHL,Edmonton Oilers,2018-2019 Preseason, 4
NHL,Edmonton Oilers,2017-2018 Regular Season, 26
NHL,Edmonton Oilers,2017-2018 Preseason, 3
NHL,Detroit Red Wings,2022-2023 Regular Season, 2
NHL,Detroit Red Wings,2022-2023 Preseason, 1
NHL,Detroit Red Wings,2021-2022 Regular Season, 19
NHL,Detroit Red Wings,2021-2022 Preseason, 2
NHL,Detroit Red Wings,2020-2021 Regular Season, 10
NHL,Detroit Red Wings,2019-2020 Preseason, 2
NHL,Detroit Red Wings,2019-2020 Regular Season, 8
NHL,Detroit Red Wings,2018-2019 Regular Season, 15
NHL,Detroit Red Wings,2018-2019 Preseason, 5
NHL,Detroit Red Wings,2017-2018 Regular Season, 20
NHL,Dallas Stars,2022-2023 Regular Season, 11
NHL,Dallas Stars,2022-2023 Preseason, 3
NHL,Dallas Stars,2021-2022 Postseason, 3
NHL,Dallas Stars,2021-2022 Regular Season, 8
NHL,Dallas Stars,2021-2022 Preseason, 2
NHL,Dallas Stars,2020-2021 Regular Season, 12
NHL,Dallas Stars,2019-2020 Postseason, 1
NHL,Dallas Stars,2019-2020 Preseason, 2
NHL,Dallas Stars,2019-2020 Regular Season, 8
NHL,Dallas Stars,2018-2019 Regular Season, 12
NHL,Columbus Blue Jackets,2022-2023 Regular Season, 8
NHL,Columbus Blue Jackets,2022-2023 Preseason, 5
NHL,Columbus Blue Jackets,2021-2022 Regular Season, 7
NHL,Columbus Blue Jackets,2021-2022 Preseason, 1
NHL,Columbus Blue Jackets,2020-2021 Regular Season, 9
NHL,Columbus Blue Jackets,2019-2020 Postseason, 1
NHL,Columbus Blue Jackets,2019-2020 Regular Season, 7
NHL,Columbus Blue Jackets,2018-2019 Postseason, 1
NHL,Columbus Blue Jackets,2018-2019 Regular Season, 12
NHL,Columbus Blue Jackets,2017-2018 Regular Season, 9
NHL,Colorado Avalanche,2022-2023 Regular Season, 9
NHL,Colorado Avalanche,2021-2022 Postseason, 1
NHL,Colorado Avalanche,2021-2022 Regular Season, 20
NHL,Colorado Avalanche,2021-2022 Preseason, 1
